name,state,address,address2,city,county,country,lat,lng
Dunkin Donuts,NY,68 US Highway 9 West,Cumberland Farms,Glenmont,,US,42.621003,-73.776817
Dunkin Donuts,NY,439 Madison Avenue,,Albany,,US,42.652649,-73.767795
Dunkin Donuts,NY,148 Dolson Ave,,Middletown,,US,41.429544,-74.425433
Dunkin Donuts,PA,14243 Kutztown Rd,Hess,Fleetwood,,US,40.485628,-75.840055
Dunkin Donuts,PA,2364 Macarthur Rd,,Whitehall,,US,40.641440,-75.490747
Dunkin Donuts,NY,One Commerce Plaza,Twin Twrs. Wash. Av.,Albany,,US,42.654602,-73.759132
Dunkin Donuts,PA,241 Rt 100,,Fogelsville,,US,40.577285,-75.621780
Dunkin Donuts,PA,2267 MacArthur Road,,Whitehall,,US,40.639631,-75.488960
Dunkin Donuts,PA,848 Nazareth Pike,,Nazareth,,US,40.731713,-75.312647
Dunkin Donuts,NY,138 Ulster Ave,,Saugerties,,US,42.080160,-73.959486
